iso_code,country,co2,category,alpha-3,region
AFG,Afghanistan,12.16,,AFG,Asia
ALB,Albania,4.535,,ALB,Europe
DZA,Algeria,154.995,,DZA,Africa
AND,Andorra,0.466,,AND,Europe
AGO,Angola,22.198,,AGO,Africa
AIA,Anguilla,0.12300000000000001,,AIA,Americas
ATG,Antigua and Barbuda,0.43,,ATG,Americas
ARG,Argentina,156.97799999999998,highly-insufficient,ARG,Americas
ARM,Armenia,5.89,,ARM,Asia
ABW,Aruba,0.753,,ABW,Americas
AUS,Australia,391.892,highly-insufficient,AUS,Oceania
AUT,Austria,60.635,,AUT,Europe
AZE,Azerbaijan,37.72,,AZE,Asia
BHS,Bahamas,2.338,,BHS,Americas
BHR,Bahrain,34.96,,BHR,Asia
BGD,Bangladesh,92.84200000000001,,BGD,Asia
BRB,Barbados,1.087,,BRB,Americas
BLR,Belarus,57.445,,BLR,Europe
BEL,Belgium,83.749,,BEL,Europe
BLZ,Belize,0.583,,BLZ,Americas
BEN,Benin,6.702999999999999,,BEN,Africa
BMU,Bermuda,0.624,,BMU,Americas
BTN,Bhutan,1.925,,BTN,Asia
BOL,Bolivia,20.7,,BOL,Americas
BES,Bonaire Sint Eustatius and Saba,0.301,,BES,Americas
BIH,Bosnia and Herzegovina,21.418000000000003,,BIH,Europe
BWA,Botswana,6.519,,BWA,Africa
BRA,Brazil,467.384,highly-insufficient,BRA,Americas
VGB,British Virgin Islands,0.139,,VGB,Americas
BRN,Brunei,10.158,,BRN,Asia
BGR,Bulgaria,37.444,,BGR,Europe
BFA,Burkina Faso,3.97,,BFA,Africa
BDI,Burundi,0.602,,BDI,Africa
KHM,Cambodia,15.325999999999999,,KHM,Asia
CMR,Cameroon,6.888999999999999,,CMR,Africa
CAN,Canada,535.823,highly-insufficient,CAN,Americas
CPV,Cape Verde,0.55,,CPV,Africa
CAF,Central African Republic,0.188,,CAF,Africa
TCD,Chad,0.912,,TCD,Africa
CHL,Chile,81.171,insufficient,CHL,Americas
CHN,China,10667.886999999999,highly-insufficient,CHN,Asia
COL,Colombia,89.105,highly-insufficient,COL,Americas
COM,Comoros,0.258,,COM,Africa
COG,Congo,3.117,,COG,Africa
COK,Cook Islands,0.079,,COK,Oceania
CRI,Costa Rica,7.907,almost-sufficient,CRI,Americas
CIV,Cote d'Ivoire,10.071,,CIV,Africa
HRV,Croatia,16.982,,HRV,Europe
CUB,Cuba,20.152,,CUB,Americas
CUW,Curacao,3.335,,CUW,Americas
CYP,Cyprus,6.496,,CYP,Asia
CZE,Czechia,87.975,,CZE,Europe
COD,Democratic Republic of Congo,2.477,,COD,Africa
DNK,Denmark,26.195,,DNK,Europe
DJI,Djibouti,0.35100000000000003,,DJI,Africa
DMA,Dominica,0.139,,DMA,Americas
DOM,Dominican Republic,27.769000000000002,,DOM,Americas
ECU,Ecuador,30.932,,ECU,Americas
EGY,Egypt,213.457,,EGY,Africa
SLV,El Salvador,6.124,,SLV,Americas
