month,Eastern Area,Great Basin,Northern California,Northern Rockies,Northwest,Rocky Mountain,Southern Area,Southern California,Southwest,Alaska
1.0,98.0,131.0,163.0,85.0,103.0,287.0,1618.0,544.0,427.0,
2.0,281.0,171.0,342.0,119.0,135.0,405.0,2406.0,536.0,709.0,1.0
3.0,1172.0,273.0,218.0,653.0,405.0,1031.0,3630.0,371.0,1142.0,2.0
4.0,3433.0,569.0,321.0,1965.0,652.0,1221.0,1858.0,724.0,1661.0,25.0
5.0,2230.0,958.0,702.0,1815.0,1121.0,921.0,1132.0,1442.0,2713.0,92.0
6.0,675.0,2478.0,1420.0,1746.0,2485.0,2084.0,992.0,2693.0,3514.0,161.0
7.0,524.0,4902.0,2589.0,4398.0,4744.0,4803.0,1394.0,3603.0,4263.0,44.0
8.0,518.0,3678.0,2392.0,4588.0,5068.0,2919.0,1252.0,2533.0,2188.0,18.0
9.0,541.0,1969.0,1524.0,1733.0,2238.0,1842.0,1070.0,1951.0,1160.0,9.0
10.0,506.0,842.0,1057.0,1086.0,891.0,837.0,1555.0,1913.0,881.0,8.0
11.0,524.0,354.0,468.0,483.0,333.0,512.0,1926.0,1353.0,558.0,1.0
12.0,153.0,74.0,300.0,213.0,220.0,258.0,1117.0,1178.0,364.0,
